Trip_ID,Dispatch_Date,Plant_ID,Plant_Name,Destination,Route,Product_ID,Product_Name,Quantity_Tons,Vehicle_ID,Vehicle_Type,Vehicle_Capacity_Tons,Transporter_ID,Transporter_Name,Loading_Start_Time,Loading_End_Time,Weighbridge_Time,Gate_Out_Time,Expected_Delivery_Date,Actual_Delivery_Date,Delivery_Status,Delay_Days,Delay_Reason,Freight_Cost,Distance_KM,On_Time_Flag
TRIP002237,2025-01-07,PL05,Hyderabad Assembly Unit,Guwahati,Hyderabad - Guwahati,PD08,Textile Rolls,15.58,VH029,Open Truck 10 Tyre,16,TR17,United Freight Corporation,2025-01-07 09:05,2025-01-07 12:42,2025-01-07 13:39,2025-01-07 13:50,2025-01-10,2025-01-09,On Time,0,Not Applicable,71109.82,1866,1
TRIP002674,2025-01-07,PL04,Vadodara Processing Plant,Guwahati,Vadodara - Guwahati,PD01,Steel Coils,15.05,VH042,Container 32ft SXL,22,TR12,Trident Transport Services,2025-01-07 10:52,2025-01-07 12:25,2025-01-07 13:09,2025-01-07 13:34,2025-01-10,2025-01-10,On Time,0,Not Applicable,78744.05,2382,1
TRIP010038,2025-01-07,PL05,Hyderabad Assembly Unit,Nagpur,Hyderabad - Nagpur,PD02,Steel Pipes,16.56,VH018,Container 32ft SXL,22,TR04,National Freight Movers,2025-01-07 06:05,2025-01-07 08:27,2025-01-07 09:07,2025-01-07 09:34,2025-01-08,2025-01-08,On Time,0,Not Applicable,22141.7,495,1
TRIP006849,2025-01-08,PL06,Indore Manufacturing Unit,Jaipur,Indore - Jaipur,PD06,Electrical Cables,24.34,VH059,Container 32ft MXL,28,TR05,Speedway Logistics Pvt Ltd,2025-01-08 06:09,2025-01-08 07:38,2025-01-08 08:28,2025-01-08 09:08,2025-01-09,2025-01-08,On Time,0,Not Applicable,29412.24,469,1
TRIP006593,2025-01-08,PL05,Hyderabad Assembly Unit,Bhopal,Hyderabad - Bhopal,PD05,Auto Components,14.86,VH049,Container 20ft,18,TR07,Om Sai Transport,2025-01-08 09:12,2025-01-08 11:43,2025-01-08 12:18,2025-01-08 12:49,2025-01-09,2025-01-09,On Time,0,Not Applicable,28858.38,855,1
TRIP003743,2025-01-08,PL06,Indore Manufacturing Unit,Jaipur,Indore - Jaipur,PD08,Textile Rolls,8.15,VH010,Open Truck 6 Tyre,9,TR15,Apex Logistics India,2025-01-08 07:51,2025-01-08 09:33,2025-01-08 10:14,2025-01-08 10:46,2025-01-09,2025-01-08,On Time,0,Not Applicable,9111.75,426,1
TRIP009647,2025-01-08,PL05,Hyderabad Assembly Unit,Jaipur,Hyderabad - Jaipur,PD05,Auto Components,7.16,VH010,Open Truck 6 Tyre,9,TR15,Apex Logistics India,2025-01-08 07:30,2025-01-08 09:46,2025-01-08 10:18,2025-01-08 10:52,2025-01-09,2025-01-09,On Time,0,Not Applicable,26006.48,1307,1
TRIP004129,2025-01-09,PL05,Hyderabad Assembly Unit,Ahmedabad,Hyderabad - Ahmedabad,PD08,Textile Rolls,22.96,VH045,Container 32ft MXL,28,TR18,Deccan Transport Co.,2025-01-09 09:20,2025-01-09 12:06,2025-01-09 12:32,2025-01-09 13:03,2025-01-10,2025-01-12,Delayed,2,Toll/Checkpoint Delay,67834.97,1124,0
TRIP001666,2025-01-10,PL01,Pune Manufacturing Unit,Bengaluru,Pune - Bengaluru,PD01,Steel Coils,28.4,VH035,Trailer 40ft,35,TR09,Sunrise Logistics Solutions,2025-01-10 06:42,2025-01-10 08:20,2025-01-10 09:00,2025-01-10 09:28,2025-01-11,2025-01-11,On Time,0,Not Applicable,53576.67,850,1
TRIP004984,2025-01-11,PL05,Hyderabad Assembly Unit,Guwahati,Hyderabad - Guwahati,PD04,PVC Granules,30.57,VH056,Trailer 40ft,35,TR05,Speedway Logistics Pvt Ltd,2025-01-11 09:13,2025-01-11 10:56,2025-01-11 11:30,2025-01-11 12:13,2025-01-14,2025-01-17,Delayed,3,Driver Unavailability,159514.61,1955,0
TRIP011780,2025-01-11,PL05,Hyderabad Assembly Unit,Patna,Hyderabad - Patna,PD06,Electrical Cables,19.33,VH025,Container 32ft SXL,22,TR13,Punjab Truck Union,2025-01-11 07:53,2025-01-11 10:03,2025-01-11 10:50,2025-01-11 11:30,2025-01-13,2025-01-12,On Time,0,Not Applicable,81746.67,1616,1
TRIP003786,2025-01-11,PL05,Hyderabad Assembly Unit,Bhopal,Hyderabad - Bhopal,PD06,Electrical Cables,25.56,VH032,Container 32ft MXL,28,TR03,Vishal Transport Co.,2025-01-11 09:44,2025-01-11 12:27,2025-01-11 13:14,2025-01-11 13:25,2025-01-12,2025-01-12,On Time,0,Not Applicable,50387.34,790,1
TRIP008046,2025-01-11,PL02,Chennai Production Plant,Nagpur,Chennai - Nagpur,PD02,Steel Pipes,9.09,VH050,Container 20ft,18,TR18,Deccan Transport Co.,2025-01-11 09:44,2025-01-11 12:05,2025-01-11 12:52,2025-01-11 13:21,2025-01-13,2025-01-12,On Time,0,Not Applicable,29445.88,1269,1
TRIP010468,2025-01-12,PL02,Chennai Production Plant,Guwahati,Chennai - Guwahati,PD04,PVC Granules,10.32,VH012,Open Truck 10 Tyre,16,TR12,Trident Transport Services,2025-01-12 10:47,2025-01-12 12:41,2025-01-12 13:25,2025-01-12 13:52,2025-01-15,2025-01-15,On Time,0,Not Applicable,70586.7,2886,1
TRIP008293,2025-01-12,PL06,Indore Manufacturing Unit,Mumbai,Indore - Mumbai,PD01,Steel Coils,6.42,VH057,Open Truck 6 Tyre,9,TR14,Coastal Cargo Carriers,2025-01-12 06:45,2025-01-12 08:21,2025-01-12 09:18,2025-01-12 09:47,2025-01-13,2025-01-12,On Time,0,Not Applicable,11449.31,695,1
TRIP003603,2025-01-13,PL05,Hyderabad Assembly Unit,Bhopal,Hyderabad - Bhopal,PD05,Auto Components,8.5,VH014,Open Truck 6 Tyre,9,TR08,Kaveri Cargo Movers,2025-01-13 06:49,2025-01-13 09:18,2025-01-13 09:36,2025-01-13 09:49,2025-01-14,2025-01-14,On Time,0,Not Applicable,16236.25,767,1
TRIP005609,2025-01-13,PL01,Pune Manufacturing Unit,Guwahati,Pune - Guwahati,PD01,Steel Coils,14.46,VH053,Open Truck 10 Tyre,16,TR09,Sunrise Logistics Solutions,2025-01-13 10:45,2025-01-13 12:54,2025-01-13 13:42,2025-01-13 13:55,2025-01-16,2025-01-15,On Time,0,Not Applicable,76319.54,2248,1
TRIP010965,2025-01-13,PL05,Hyderabad Assembly Unit,Nagpur,Hyderabad - Nagpur,PD04,PVC Granules,18.0,VH031,Container 20ft,18,TR17,United Freight Corporation,2025-01-13 08:12,2025-01-13 09:56,2025-01-13 10:50,2025-01-13 11:04,2025-01-14,2025-01-13,On Time,0,Not Applicable,19940.4,476,1
TRIP009328,2025-01-13,PL02,Chennai Production Plant,Kolkata,Chennai - Kolkata,PD02,Steel Pipes,14.69,VH053,Open Truck 10 Tyre,16,TR09,Sunrise Logistics Solutions,2025-01-13 08:53,2025-01-13 11:12,2025-01-13 12:07,2025-01-13 12:31,2025-01-15,2025-01-15,On Time,0,Not Applicable,58513.84,1722,1
TRIP011227,2025-01-14,PL06,Indore Manufacturing Unit,Bhopal,Indore - Bhopal,PD07,Packaged Tiles,13.73,VH058,Open Truck 10 Tyre,16,TR18,Deccan Transport Co.,2025-01-14 07:54,2025-01-14 10:41,2025-01-14 11:19,2025-01-14 11:37,2025-01-14,2025-01-14,On Time,0,Not Applicable,1103.54,20,1
TRIP003996,2025-01-14,PL01,Pune Manufacturing Unit,Bhopal,Pune - Bhopal,PD08,Textile Rolls,16.51,VH042,Container 32ft SXL,22,TR12,Trident Transport Services,2025-01-14 07:25,2025-01-14 09:56,2025-01-14 10:15,2025-01-14 10:40,2025-01-15,2025-01-15,On Time,0,Not Applicable,25155.8,684,1
TRIP002484,2025-01-14,PL06,Indore Manufacturing Unit,Bhopal,Indore - Bhopal,PD08,Textile Rolls,8.04,VH010,Open Truck 6 Tyre,9,TR15,Apex Logistics India,2025-01-14 08:04,2025-01-14 09:28,2025-01-14 10:26,2025-01-14 11:05,2025-01-14,2025-01-14,On Time,0,Not Applicable,917.74,20,1
TRIP008566,2025-01-14,PL05,Hyderabad Assembly Unit,Mumbai,Hyderabad - Mumbai,PD07,Packaged Tiles,15.16,VH018,Container 32ft SXL,22,TR04,National Freight Movers,2025-01-14 10:55,2025-01-14 13:29,2025-01-14 13:51,2025-01-14 14:18,2025-01-15,2025-01-15,On Time,0,Not Applicable,25381.28,640,1
TRIP004784,2025-01-14,PL05,Hyderabad Assembly Unit,Mumbai,Hyderabad - Mumbai,PD02,Steel Pipes,14.45,VH058,Open Truck 10 Tyre,16,TR18,Deccan Transport Co.,2025-01-14 09:33,2025-01-14 12:43,2025-01-14 13:09,2025-01-14 13:48,2025-01-15,2025-01-15,On Time,0,Not Applicable,28900.38,729,1
TRIP009756,2025-01-14,PL05,Hyderabad Assembly Unit,Bengaluru,Hyderabad - Bengaluru,PD02,Steel Pipes,26.29,VH020,Container 32ft MXL,28,TR01,Bharat Road Carriers,2025-01-14 06:09,2025-01-14 08:52,2025-01-14 09:40,2025-01-14 10:09,2025-01-15,2025-01-15,On Time,0,Not Applicable,35721.74,592,1
TRIP000032,2025-01-15,PL05,Hyderabad Assembly Unit,Nagpur,Hyderabad - Nagpur,PD02,Steel Pipes,30.41,VH003,Trailer 40ft,35,TR17,United Freight Corporation,2025-01-15 06:14,2025-01-15 07:45,2025-01-15 08:44,2025-01-15 09:09,2025-01-16,2025-01-16,On Time,0,Not Applicable,32204.69,443,1
TRIP007048,2025-01-15,PL05,Hyderabad Assembly Unit,Bhopal,Hyderabad - Bhopal,PD06,Electrical Cables,35.0,VH055,Trailer 40ft,35,TR09,Sunrise Logistics Solutions,2025-01-15 06:05,2025-01-15 08:26,2025-01-15 08:48,2025-01-15 09:10,2025-01-16,2025-01-16,On Time,0,Not Applicable,64719.95,805,1
TRIP007579,2025-01-16,PL05,Hyderabad Assembly Unit,Mumbai,Hyderabad - Mumbai,PD06,Electrical Cables,16.33,VH004,Container 20ft,18,TR06,Ganesh Roadlines,2025-01-16 08:43,2025-01-16 11:40,2025-01-16 12:03,2025-01-16 12:21,2025-01-17,2025-01-17,On Time,0,Not Applicable,26716.57,712,1
TRIP004041,2025-01-16,PL02,Chennai Production Plant,Guwahati,Chennai - Guwahati,PD02,Steel Pipes,30.21,VH035,Trailer 40ft,35,TR09,Sunrise Logistics Solutions,2025-01-16 09:51,2025-01-16 12:10,2025-01-16 13:04,2025-01-16 13:48,2025-01-20,2025-01-20,On Time,0,Not Applicable,201232.89,2850,1
TRIP004360,2025-01-17,PL05,Hyderabad Assembly Unit,Bhopal,Hyderabad - Bhopal,PD05,Auto Components,22.92,VH008,Container 32ft MXL,28,TR11,Reliable Roadways,2025-01-17 08:22,2025-01-17 10:01,2025-01-17 10:37,2025-01-17 10:50,2025-01-18,2025-01-18,On Time,0,Not Applicable,41003.51,748,1
TRIP003820,2025-01-18,PL05,Hyderabad Assembly Unit,Guwahati,Hyderabad - Guwahati,PD05,Auto Components,31.17,VH003,Trailer 40ft,35,TR17,United Freight Corporation,2025-01-18 08:03,2025-01-18 10:59,2025-01-18 11:42,2025-01-18 12:16,2025-01-21,2025-01-20,On Time,0,Not Applicable,149381.3,2047,1
TRIP003419,2025-01-19,PL04,Vadodara Processing Plant,Bhopal,Vadodara - Bhopal,PD07,Packaged Tiles,21.69,VH039,Container 32ft SXL,22,TR05,Speedway Logistics Pvt Ltd,2025-01-19 09:40,2025-01-19 12:40,2025-01-19 13:39,2025-01-19 14:12,2025-01-20,2025-01-20,On Time,0,Not Applicable,36181.53,591,1
TRIP000374,2025-01-19,PL05,Hyderabad Assembly Unit,Mumbai,Hyderabad - Mumbai,PD06,Electrical Cables,7.4,VH057,Open Truck 6 Tyre,9,TR14,Coastal Cargo Carriers,2025-01-19 10:13,2025-01-19 12:20,2025-01-19 12:36,2025-01-19 12:56,2025-01-20,2025-01-20,On Time,0,Not Applicable,12154.15,685,1
TRIP010994,2025-01-19,PL04,Vadodara Processing Plant,Jaipur,Vadodara - Jaipur,PD02,Steel Pipes,15.9,VH031,Container 20ft,18,TR17,United Freight Corporation,2025-01-19 06:13,2025-01-19 08:19,2025-01-19 08:35,2025-01-19 09:07,2025-01-20,2025-01-20,On Time,0,Not Applicable,28582.47,723,1
TRIP003939,2025-01-19,PL01,Pune Manufacturing Unit,Jaipur,Pune - Jaipur,PD07,Packaged Tiles,15.8,VH058,Open Truck 10 Tyre,16,TR18,Deccan Transport Co.,2025-01-19 07:15,2025-01-19 09:38,2025-01-19 10:25,2025-01-19 10:38,2025-01-20,2025-01-20,On Time,0,Not Applicable,46009.47,1106,1
TRIP005909,2025-01-20,PL04,Vadodara Processing Plant,Nagpur,Vadodara - Nagpur,PD05,Auto Components,13.78,VH006,Open Truck 10 Tyre,16,TR12,Trident Transport Services,2025-01-20 10:57,2025-01-20 11:47,2025-01-20 12:10,2025-01-20 12:20,2025-01-21,2025-01-23,Delayed,2,Vehicle Breakdown,26632.59,857,0
TRIP000409,2025-01-20,PL01,Pune Manufacturing Unit,Nagpur,Pune - Nagpur,PD05,Auto Components,25.92,VH015,Container 32ft MXL,28,TR08,Kaveri Cargo Movers,2025-01-20 08:42,2025-01-20 11:12,2025-01-20 11:43,2025-01-20 12:22,2025-01-21,2025-01-21,On Time,0,Not Applicable,28283.03,473,1
TRIP011702,2025-01-22,PL05,Hyderabad Assembly Unit,Guwahati,Hyderabad - Guwahati,PD02,Steel Pipes,28.0,VH008,Container 32ft MXL,28,TR11,Reliable Roadways,2025-01-22 07:36,2025-01-22 10:41,2025-01-22 11:32,2025-01-22 11:46,2025-01-25,2025-01-26,Delayed,1,Route Diversion,144954.54,2059,0
TRIP011479,2025-01-22,PL06,Indore Manufacturing Unit,Nagpur,Indore - Nagpur,PD02,Steel Pipes,16.47,VH031,Container 20ft,18,TR17,United Freight Corporation,2025-01-22 09:50,2025-01-22 12:26,2025-01-22 13:19,2025-01-22 13:32,2025-01-22,2025-01-22,On Time,0,Not Applicable,10114.22,262,1
TRIP009003,2025-01-23,PL05,Hyderabad Assembly Unit,Jaipur,Hyderabad - Jaipur,PD02,Steel Pipes,17.35,VH034,Container 20ft,18,TR13,Punjab Truck Union,2025-01-23 10:36,2025-01-23 12:47,2025-01-23 13:23,2025-01-23 13:34,2025-01-25,2025-01-25,On Time,0,Not Applicable,62908.35,1356,1
TRIP009831,2025-01-23,PL05,Hyderabad Assembly Unit,Guwahati,Hyderabad - Guwahati,PD07,Packaged Tiles,15.46,VH054,Container 20ft,18,TR13,Punjab Truck Union,2025-01-23 07:44,2025-01-23 10:09,2025-01-23 10:39,2025-01-23 10:57,2025-01-25,2025-01-25,On Time,0,Not Applicable,82856.56,2007,1
TRIP009762,2025-01-23,PL01,Pune Manufacturing Unit,Mumbai,Pune - Mumbai,PD06,Electrical Cables,7.97,VH028,Open Truck 6 Tyre,9,TR03,Vishal Transport Co.,2025-01-23 06:18,2025-01-23 08:07,2025-01-23 09:00,2025-01-23 09:35,2025-01-23,2025-01-23,On Time,0,Not Applicable,3746.39,152,1
TRIP007316,2025-01-23,PL01,Pune Manufacturing Unit,Bhopal,Pune - Bhopal,PD06,Electrical Cables,15.13,VH036,Container 32ft SXL,22,TR09,Sunrise Logistics Solutions,2025-01-23 07:32,2025-01-23 10:12,2025-01-23 10:35,2025-01-23 11:09,2025-01-24,2025-01-24,On Time,0,Not Applicable,23195.62,663,1
TRIP007285,2025-01-23,PL05,Hyderabad Assembly Unit,Nagpur,Hyderabad - Nagpur,PD05,Auto Components,24.78,VH002,Container 32ft MXL,28,TR06,Ganesh Roadlines,2025-01-23 09:28,2025-01-23 12:45,2025-01-23 13:08,2025-01-23 13:49,2025-01-24,2025-01-24,On Time,0,Not Applicable,27252.11,457,1
TRIP007020,2025-01-23,PL04,Vadodara Processing Plant,Nagpur,Vadodara - Nagpur,PD07,Packaged Tiles,10.53,VH046,Open Truck 10 Tyre,16,TR02,Shree Balaji Logistics,2025-01-23 07:05,2025-01-23 09:10,2025-01-23 10:03,2025-01-23 10:42,2025-01-24,2025-01-24,On Time,0,Not Applicable,19505.95,837,1
TRIP005636,2025-01-23,PL06,Indore Manufacturing Unit,Mumbai,Indore - Mumbai,PD06,Electrical Cables,7.96,VH037,Open Truck 6 Tyre,9,TR03,Vishal Transport Co.,2025-01-23 07:16,2025-01-23 10:42,2025-01-23 11:16,2025-01-23 11:31,2025-01-24,2025-01-24,On Time,0,Not Applicable,14399.51,648,1
TRIP010513,2025-01-24,PL05,Hyderabad Assembly Unit,Jaipur,Hyderabad - Jaipur,PD04,PVC Granules,13.7,VH021,Open Truck 10 Tyre,16,TR02,Shree Balaji Logistics,2025-01-24 08:29,2025-01-24 09:01,2025-01-24 09:35,2025-01-24 09:49,2025-01-26,2025-01-25,On Time,0,Not Applicable,43926.74,1438,1
TRIP001741,2025-01-24,PL01,Pune Manufacturing Unit,Nagpur,Pune - Nagpur,PD04,PVC Granules,23.71,VH008,Container 32ft MXL,28,TR11,Reliable Roadways,2025-01-24 10:32,2025-01-24 12:41,2025-01-24 13:04,2025-01-24 13:35,2025-01-25,2025-01-24,On Time,0,Not Applicable,28171.63,471,1
TRIP011792,2025-01-24,PL02,Chennai Production Plant,Bhopal,Chennai - Bhopal,PD06,Electrical Cables,18.73,VH047,Container 32ft SXL,22,TR07,Om Sai Transport,2025-01-24 07:38,2025-01-24 08:36,2025-01-24 09:16,2025-01-24 09:48,2025-01-26,2025-01-25,On Time,0,Not Applicable,68680.96,1538,1
TRIP002143,2025-01-25,PL06,Indore Manufacturing Unit,Nagpur,Indore - Nagpur,PD07,Packaged Tiles,17.82,VH004,Container 20ft,18,TR06,Ganesh Roadlines,2025-01-25 09:05,2025-01-25 12:28,2025-01-25 12:46,2025-01-25 13:07,2025-01-26,2025-01-25,On Time,0,Not Applicable,12252.12,274,1
TRIP007721,2025-01-25,PL05,Hyderabad Assembly Unit,Nagpur,Hyderabad - Nagpur,PD04,PVC Granules,25.93,VH017,Container 32ft MXL,28,TR06,Ganesh Roadlines,2025-01-25 08:45,2025-01-25 11:20,2025-01-25 12:07,2025-01-25 12:35,2025-01-26,2025-01-26,On Time,0,Not Applicable,32268.86,516,1
TRIP003373,2025-01-25,PL05,Hyderabad Assembly Unit,Nagpur,Hyderabad - Nagpur,PD04,PVC Granules,26.49,VH015,Container 32ft MXL,28,TR08,Kaveri Cargo Movers,2025-01-25 09:04,2025-01-25 11:18,2025-01-25 12:03,2025-01-25 12:14,2025-01-26,2025-01-28,Delayed,2,Toll/Checkpoint Delay,34268.08,511,0
TRIP010136,2025-01-26,PL05,Hyderabad Assembly Unit,Nagpur,Hyderabad - Nagpur,PD04,PVC Granules,8.88,VH050,Container 20ft,18,TR18,Deccan Transport Co.,2025-01-26 08:12,2025-01-26 10:56,2025-01-26 11:44,2025-01-26 12:14,2025-01-27,2025-01-26,On Time,0,Not Applicable,12178.48,520,1
TRIP010744,2025-01-26,PL05,Hyderabad Assembly Unit,Nagpur,Hyderabad - Nagpur,PD05,Auto Components,20.48,VH039,Container 32ft SXL,22,TR05,Speedway Logistics Pvt Ltd,2025-01-26 09:51,2025-01-26 12:06,2025-01-26 12:59,2025-01-26 13:11,2025-01-27,2025-01-27,On Time,0,Not Applicable,26903.7,507,1
TRIP001176,2025-01-26,PL05,Hyderabad Assembly Unit,Bhopal,Hyderabad - Bhopal,PD06,Electrical Cables,16.63,VH034,Container 20ft,18,TR13,Punjab Truck Union,2025-01-26 10:09,2025-01-26 10:42,2025-01-26 11:25,2025-01-26 12:07,2025-01-27,2025-01-27,On Time,0,Not Applicable,37421.23,872,1
TRIP007117,2025-01-26,PL05,Hyderabad Assembly Unit,Jaipur,Hyderabad - Jaipur,PD03,Cement Bags,8.84,VH046,Open Truck 10 Tyre,16,TR02,Shree Balaji Logistics,2025-01-26 08:01,2025-01-26 08:48,2025-01-26 09:25,2025-01-26 09:46,2025-01-28,2025-01-28,On Time,0,Not Applicable,28010.99,1388,1
TRIP004845,2025-01-28,PL05,Hyderabad Assembly Unit,Jaipur,Hyderabad - Jaipur,PD04,PVC Granules,27.49,VH051,Trailer 40ft,35,TR07,Om Sai Transport,2025-01-28 10:25,2025-01-28 13:05,2025-01-28 14:04,2025-01-28 14:35,2025-01-30,2025-01-30,On Time,0,Not Applicable,90155.48,1456,1
TRIP000201,2025-01-28,PL05,Hyderabad Assembly Unit,Bengaluru,Hyderabad - Bengaluru,PD08,Textile Rolls,8.99,VH037,Open Truck 6 Tyre,9,TR03,Vishal Transport Co.,2025-01-28 07:50,2025-01-28 10:37,2025-01-28 11:04,2025-01-28 11:15,2025-01-29,2025-01-28,On Time,0,Not Applicable,15652.6,656,1
TRIP002418,2025-01-29,PL05,Hyderabad Assembly Unit,Nagpur,Hyderabad - Nagpur,PD04,PVC Granules,13.35,VH052,Open Truck 10 Tyre,16,TR17,United Freight Corporation,2025-01-29 06:21,2025-01-29 09:17,2025-01-29 09:50,2025-01-29 10:32,2025-01-30,2025-01-30,On Time,0,Not Applicable,15704.86,482,1
TRIP006878,2025-01-29,PL04,Vadodara Processing Plant,Bhopal,Vadodara - Bhopal,PD08,Textile Rolls,15.36,VH007,Open Truck 10 Tyre,16,TR03,Vishal Transport Co.,2025-01-29 09:22,2025-01-29 10:59,2025-01-29 11:55,2025-01-29 12:05,2025-01-30,2025-01-30,On Time,0,Not Applicable,23397.36,595,1
TRIP005772,2025-01-30,PL04,Vadodara Processing Plant,Mumbai,Vadodara - Mumbai,PD06,Electrical Cables,13.74,VH052,Open Truck 10 Tyre,16,TR17,United Freight Corporation,2025-01-30 10:18,2025-01-30 11:03,2025-01-30 11:59,2025-01-30 12:27,2025-01-31,2025-01-31,On Time,0,Not Applicable,17181.86,521,1
